N value, thread number, Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
256, 1, 1,33043088891,1.83,5.93,3.801717369
256, 1, 2,33043136636,1.83,6.03,3.851585539
256, 1, 3,33042358328,1.84,5.98,3.769962271
256, 1, 4,33043411474,1.83,5.99,3.878158460
256, 1, 5,33042939853,1.83,6.02,3.785854076
256, 2, 1,33442210971,0.66,5.59,5.327559275
256, 2, 2,33426109000,0.65,5.67,5.379374511
256, 2, 3,33430022056,0.66,5.66,5.279397667
256, 2, 4,33440646708,0.69,5.65,5.082176606
256, 2, 5,33444265881,0.65,5.64,5.285303322
256, 4, 1,34851451455,0.21,4.79,8.950560739
256, 4, 2,34870186040,0.21,4.77,8.577031291
256, 4, 3,34752109508,0.21,4.81,8.608156791
256, 4, 4,35016435825,0.20,4.55,9.165422679
256, 4, 5,34926428519,0.21,4.72,8.602844177
256, 8, 1,37906623125,0.10,3.58,10.554672880
256, 8, 2,37999290058,0.09,3.59,10.701151006
256, 8, 3,38087423327,0.09,3.53,10.916956481
256, 8, 4,38023265328,0.09,3.56,10.828046080
256, 8, 5,37844131703,0.10,3.63,10.438017213
500, 1, 1,122696773234,2.19,3.31,11.420756944
500, 1, 2,122696996371,2.19,3.29,11.382437172
500, 1, 3,122697312110,2.18,3.31,11.398697145
500, 1, 4,122697552488,2.18,3.31,11.465014275
500, 1, 5,122698456926,2.18,3.30,11.406677924
500, 2, 1,123953834740,0.84,3.18,15.047206979
500, 2, 2,123907485994,0.77,3.27,16.436997211
500, 2, 3,123906324198,0.75,3.25,16.882531376
500, 2, 4,123920694348,0.78,3.26,16.194277910
500, 2, 5,123906818114,0.76,3.28,16.719922886
500, 4, 1,128113008241,0.30,2.90,22.727488917
500, 4, 2,128209715097,0.30,2.88,22.941063372
500, 4, 3,128012711191,0.30,2.93,22.284958573
500, 4, 4,128026802636,0.30,2.90,22.213633938
500, 4, 5,128188591592,0.30,2.88,22.294716321
500, 8, 1,142985805910,0.12,1.99,32.967318032
500, 8, 2,141715218720,0.12,2.06,31.869319385
500, 8, 3,142831124732,0.12,1.98,32.457795183
500, 8, 4,138311746354,0.12,2.22,31.024830788
500, 8, 5,141414240230,0.12,2.08,31.586440264
864, 1, 1,362007755435,2.43,1.69,30.503752605
864, 1, 2,362007565328,2.44,1.68,30.498770866
864, 1, 3,362006603091,2.44,1.69,30.605501625
864, 1, 4,362006627505,2.44,1.69,30.578345722
864, 1, 5,362007779953,2.43,1.68,30.340635367
864, 2, 1,365205025942,1.01,1.65,37.575291288
864, 2, 2,365173889480,0.97,1.67,38.921808169
864, 2, 3,365216112275,1.03,1.65,36.678285291
864, 2, 4,365210141041,0.98,1.67,38.569296999
864, 2, 5,365222921884,1.03,1.64,36.882415167
864, 4, 1,373534997358,0.41,1.55,48.168041884
864, 4, 2,373963381608,0.40,1.55,48.844993372
864, 4, 3,373875283235,0.41,1.55,48.458840753
864, 4, 4,373298846835,0.41,1.56,47.670460014
864, 4, 5,373153232050,0.43,1.56,46.290856747
864, 8, 1,393831175193,0.17,1.30,62.291126336
864, 8, 2,401122218227,0.15,1.22,69.226823569
864, 8, 3,392748245917,0.17,1.29,62.444522467
864, 8, 4,401381175309,0.16,1.19,68.934139803
864, 8, 5,391300115220,0.17,1.34,61.360393358
1372, 1, 1,907291121105,2.57,1.15,71.801083620
1372, 1, 2,907292291968,2.57,1.15,71.757542726
1372, 1, 3,907211646111,2.57,1.18,72.061115444
1372, 1, 4,907290808433,2.57,1.15,71.957133304
1372, 1, 5,907290724786,2.57,1.15,71.971595012
1372, 2, 1,915078961520,1.15,1.13,81.106567892
1372, 2, 2,915092671116,1.21,1.13,77.023704992
1372, 2, 3,915027637002,1.11,1.12,84.573897793
1372, 2, 4,915027587229,1.09,1.14,85.706948771
1372, 2, 5,915028910020,1.09,1.13,85.991954252
1372, 4, 1,933899556448,0.49,1.04,101.361827147
1372, 4, 2,932108283863,0.49,1.06,99.666668255
1372, 4, 3,931332629489,0.50,1.08,97.699347378
1372, 4, 4,931145464748,0.51,1.08,96.775178294
1372, 4, 5,931251332995,0.50,1.07,97.600011028
1372, 8, 1,977420532146,0.20,0.91,127.596650102
1372, 8, 2,998717894785,0.19,0.82,143.296280970
1372, 8, 3,968357557995,0.22,0.93,118.134960393
1372, 8, 4,984449461616,0.19,0.88,135.864548503
1372, 8, 5,987801336521,0.19,0.88,138.499808271
2048, 1, 1,2014691938500,2.40,0.70,170.279650701
2048, 1, 2,2014690708808,2.39,0.70,170.720208248
2048, 1, 3,2014693540970,2.40,0.70,170.173259034
2048, 1, 4,2014692519695,2.40,0.70,170.516862369
2048, 1, 5,2014690825685,2.40,0.70,170.205374301
2048, 2, 1,2033225729332,1.20,0.68,171.989551080
2048, 2, 2,2033216802039,1.25,0.67,166.531486010
2048, 2, 3,2033189034351,1.23,0.68,169.247197002
2048, 2, 4,2033091382495,1.29,0.68,160.653708754
2048, 2, 5,2033180765578,1.22,0.68,169.989512880
2048, 4, 1,2056129631747,0.74,0.65,146.991104544
