N value, thread number, Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
256, 1, 1,33064803085,2.51,3.59,3.649754399
256, 1, 2,33064941128,2.52,3.53,3.636465501
256, 1, 3,33068960543,2.53,3.43,3.613082766
256, 1, 4,33063983528,2.50,3.62,3.656081011
256, 1, 5,33068418523,2.51,3.53,3.637727886
256, 2, 1,33761135315,1.25,2.26,3.749674038
256, 2, 2,33795207251,1.20,2.27,3.894820254
256, 2, 3,33759239256,1.18,2.17,3.973099686
256, 2, 4,33761730384,1.18,2.29,3.948575959
256, 2, 5,33740589716,1.28,2.27,3.643010477
256, 4, 1,34631758179,0.45,1.23,5.336141074
256, 4, 2,34964361463,0.44,1.17,5.523974743
256, 4, 3,34772853235,0.45,1.23,5.366700573
256, 4, 4,34926582601,0.44,1.19,5.473873781
256, 4, 5,34870228058,0.45,1.22,5.421280771
256, 8, 1,40082967737,0.16,0.48,9.046919354
256, 8, 2,39796089169,0.16,0.48,8.833857960
256, 8, 3,39784041558,0.16,0.48,8.839948943
256, 8, 4,39815478253,0.16,0.48,8.859635469
256, 8, 5,40166704247,0.16,0.47,8.903589596
256, 12, 1,45716280248,0.10,0.29,11.133815326
256, 12, 2,45372696275,0.10,0.30,11.129335447
256, 12, 3,45467152079,0.10,0.30,11.035039923
256, 12, 4,45459696023,0.10,0.30,10.968055353
256, 12, 5,45349233395,0.10,0.30,10.958148960
256, 16, 1,53002828432,0.07,0.21,13.369474879
256, 16, 2,53047514389,0.07,0.21,13.224900701
256, 16, 3,53843288813,0.07,0.20,13.508241628
256, 16, 4,52590844298,0.07,0.21,13.263525514
256, 16, 5,54150031317,0.07,0.20,13.396669728
500, 1, 1,122735942676,2.84,2.51,11.930662286
500, 1, 2,122734987010,2.85,2.49,11.915000229
500, 1, 3,122737835838,2.85,2.49,11.912578398
500, 1, 4,122736091055,2.85,2.48,11.903411975
500, 1, 5,122734388936,2.85,2.48,11.901039563
500, 2, 1,124820172443,0.83,1.97,20.701085767
500, 2, 2,124658927009,0.84,1.97,20.555723714
500, 2, 3,124874998582,0.80,1.96,21.644312363
500, 2, 4,124804938312,0.82,1.97,21.029924539
500, 2, 5,124813586838,0.85,1.97,20.312617349
500, 4, 1,137168802021,0.31,1.10,30.253356643
500, 4, 2,137532164232,0.31,1.10,30.895952676
500, 4, 3,139000326371,0.29,1.05,32.953408384
500, 4, 4,137443400124,0.30,1.10,31.666076825
500, 4, 5,137123443890,0.30,1.11,31.284365152
500, 8, 1,159412121792,0.15,0.57,38.917389349
500, 8, 2,160098051654,0.15,0.56,39.213045653
500, 8, 3,162082644515,0.15,0.54,39.241213528
500, 8, 4,161815096966,0.15,0.55,39.715968261
500, 8, 5,160292969829,0.15,0.56,38.606692950
500, 12, 1,181867243263,0.10,0.37,42.767546890
500, 12, 2,180591479671,0.10,0.38,42.464061373
500, 12, 3,173509742635,0.11,0.41,39.281097953
500, 12, 4,175570063974,0.11,0.40,39.759812576
500, 12, 5,176322547769,0.11,0.40,39.979288735
500, 16, 1,191057471711,0.09,0.30,39.867820021
500, 16, 2,196166134834,0.09,0.29,42.750761862
500, 16, 3,192236199420,0.09,0.30,41.937854000
