Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
,122698723020,2.18,3.30,11.363219613
,122698385374,2.19,3.30,11.286474853
,122697189298,2.18,3.31,11.335980640
,122699476014,2.19,3.30,11.385275081
,122697565319,2.19,3.31,11.326777909
,123904457505,0.76,3.23,16.701572933
,123919879640,0.78,3.26,16.199807411
,123931022757,0.80,3.23,15.834866183
,123914642701,0.79,3.20,15.880175729
,123941330631,0.84,3.23,15.115173486
,128165177363,0.30,2.90,22.566689963
,127913226437,0.31,2.84,22.089472998
,128118120496,0.30,2.91,22.584729031
,128061350188,0.29,2.89,22.989154036
,128038114721,0.31,2.81,22.136842872
,145094825531,0.11,1.86,34.074223042
,142612362703,0.12,1.99,32.718127728
,140935950170,0.12,1.98,31.421813864
,141938038847,0.11,2.00,32.995249567
,143037262653,0.11,1.94,33.223698700
