N value, thread number, Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
5324, 1, 1,13301539300886,2.68,0.27,1044.910848294
5324, 2, 1,13339536099338,1.61,0.27,1027.068648473
5324, 4, 1,13415877827978,1.18,0.26,771.779766550
5324, 8, 1,13528254547799,0.95,0.25,458.967025832
6912, 1, 1,22405885110229,2.72,0.21,1656.610484740
6912, 2, 1,22443923188308,1.72,0.21,1662.608764545
6912, 4, 1,22520353679868,1.34,0.21,1240.330663497
6912, 8, 1,22651816367389,1.10,0.21,740.673085487
10976, 1, 1,56455481031393,2.74,0.14,4152.192152319
10976, 2, 1,56493642216783,1.82,0.14,4087.933357802
10976, 4, 1,56570372399970,1.51,0.14,3030.686641162
10976, 8, 1,56723425913471,1.30,0.14,1845.467747897
