N value, thread number, Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
5324, 8, 1,13585359473230,1.98,0.26,499.715694122
5324, 12, 1,13744915380854,1.90,0.25,346.480049238
5324, 16, 1,13895039966341,1.84,0.24,265.488392980
5324, 20, 1,14041558855184,1.79,0.23,217.581674581
6912, 8, 1,22695626579043,2.04,0.21,828.348236536
6912, 12, 1,22855225197983,1.99,0.21,576.331438245
6912, 16, 1,23015672481602,1.95,0.20,442.103096582
6912, 20, 1,23172286678648,1.90,0.20,360.333006430
10976, 8, 1,56762539339468,2.10,0.14,2045.521439145
10976, 12, 1,56925251895997,2.08,0.14,1421.941585353
10976, 16, 1,57088997099513,2.06,0.14,1091.517448839
10976, 20, 1,57252741607787,2.04,0.14,888.996581034
